timestamp,soil_moisture,temperature,humidity,hour,dry_rate,previous_irrigation,pump_runtime,fan_state
2026-03-13 02:22:44.792792,26.67,30.5,44,2,0.0,0,0,0
2026-03-13 02:23:01.431932,26.67,30.3,44,2,0.0,0,0,0
2026-03-13 02:23:17.751242,26.67,30.2,44,2,0.0,0,0,0
2026-03-13 02:23:34.388117,26.67,30.2,44,2,0.0,0,0,0
2026-03-13 02:23:51.992755,26.67,30.4,44,2,0.0,0,0,0
2026-03-13 02:24:08.296722,26.67,30.2,44,2,0.0,0,0,0
2026-03-13 02:24:24.656715,26.67,30.7,44,2,0.0,0,0,0
2026-03-13 02:24:40.990844,26.67,30.8,44,2,0.0,0,0,0
2026-03-13 02:24:57.320722,26.67,30.2,44,2,0.0,0,0,0
2026-03-13 02:25:13.648719,26.67,30.6,44,2,0.0,0,0,0
2026-03-13 02:25:30.580216,26.67,30.2,44,2,0.0,0,0,0
2026-03-13 02:25:46.942882,26.67,30.5,44,2,0.0,0,0,0
2026-03-13 02:26:03.588000,26.67,30.2,44,2,0.0,0,0,0
2026-03-13 02:26:19.980725,26.67,30.4,44,2,0.0,0,0,0
2026-03-13 02:26:36.617704,26.67,30.3,44,2,0.0,0,0,0
2026-03-13 02:26:53.207385,26.67,30.3,44,2,0.0,0,0,0
2026-03-13 02:27:10.805854,26.67,30.3,44,2,0.0,0,0,0
2026-03-13 02:27:28.400743,26.67,30.9,44,2,0.0,0,0,0
2026-03-13 02:27:44.800725,26.67,30.5,44,2,0.0,0,0,0
2026-03-13 02:28:01.336722,26.67,30.8,44,2,0.0,0,0,0
2026-03-13 02:28:17.700116,26.67,30.1,44,2,0.0,0,0,0
2026-03-13 02:28:34.663296,26.67,30.1,44,2,0.0,0,0,0
2026-03-13 02:28:51.312725,26.67,30.1,44,2,0.0,0,0,0
2026-03-13 02:29:07.628722,26.67,30.5,44,2,0.0,0,0,0
2026-03-13 02:29:24.011729,26.67,30.2,44,2,0.0,0,0,0
2026-03-13 02:29:40.559355,26.67,30.4,44,2,0.0,0,0,0
2026-03-13 02:29:56.914098,26.67,30.0,44,2,0.0,0,0,0
2026-03-13 02:30:13.518998,26.67,30.4,44,2,0.0,0,0,0
2026-03-13 02:30:29.868713,26.67,30.9,44,2,0.0,0,0,0
2026-03-13 02:30:46.529956,26.67,30.9,44,2,0.0,0,0,0
2026-03-13 02:31:08.928714,26.67,30.4,44,2,0.0,0,0,0
2026-03-13 02:31:25.574025,26.67,30.8,44,2,0.0,0,0,0
2026-03-13 02:31:42.853421,26.67,30.4,44,2,0.0,0,0,0
2026-03-13 02:31:59.492711,26.67,30.4,44,2,0.0,0,0,0
2026-03-13 02:32:17.097912,26.67,30.2,44,2,0.0,0,0,0
2026-03-13 02:32:33.732717,26.67,30.9,44,2,0.0,0,0,0
2026-03-13 02:32:50.372626,26.67,30.1,44,2,0.0,0,0,0
2026-03-13 02:33:07.011167,26.67,30.1,44,2,0.0,0,0,0
2026-03-13 02:33:24.611240,26.67,30.7,44,2,0.0,0,0,0
2026-03-13 02:33:41.245489,26.67,30.3,44,2,0.0,0,0,0
2026-03-13 02:33:57.886107,26.67,30.0,44,2,0.0,0,0,0
2026-03-13 02:34:14.507651,26.67,30.1,44,2,0.0,0,0,0
2026-03-13 02:34:31.161959,26.67,30.5,44,2,0.0,0,0,0
2026-03-13 02:34:47.801252,26.67,30.9,44,2,0.0,0,0,0
2026-03-13 02:35:04.444472,26.67,30.9,44,2,0.0,0,0,0
2026-03-13 02:35:22.041696,26.67,30.3,44,2,0.0,0,0,0
2026-03-13 02:35:38.996268,26.67,30.2,44,2,0.0,0,0,0
2026-03-13 02:35:55.638678,26.67,30.7,44,2,0.0,0,0,0
2026-03-13 02:36:12.280365,26.67,30.3,44,2,0.0,0,0,0
2026-03-13 02:36:28.601486,26.67,30.3,44,2,0.0,0,0,0
2026-03-13 02:36:46.263685,26.67,30.3,44,2,0.0,0,0,0
2026-03-13 02:37:03.777235,26.67,30.3,44,2,0.0,0,0,0
2026-03-13 02:37:21.786001,26.67,30.3,44,2,0.0,0,0,0
2026-03-13 02:37:39.316611,26.67,30.5,44,2,0.0,0,0,0
2026-03-13 02:37:55.956037,26.67,30.5,44,2,0.0,0,0,0
2026-03-13 02:38:13.550859,26.67,30.9,44,2,0.0,0,0,0
2026-03-13 02:38:29.877919,26.67,30.7,44,2,0.0,0,0,0
2026-03-13 02:38:46.516563,26.67,30.7,44,2,0.0,0,0,0
2026-03-13 02:39:04.117806,26.67,30.7,44,2,0.0,0,0,0
2026-03-13 02:39:21.733465,26.67,30.7,44,2,0.0,0,0,0
2026-03-13 02:39:39.329348,26.67,30.7,44,2,0.0,0,0,0
2026-03-13 02:39:56.676415,26.67,30.8,44,2,0.0,0,0,0
2026-03-13 02:40:13.251090,26.67,30.8,44,2,0.0,0,0,0
2026-03-13 02:40:31.492792,26.67,30.8,44,2,0.0,0,0,0
2026-03-13 02:40:49.091607,26.67,30.8,44,2,0.0,0,0,0
2026-03-13 02:41:06.693290,26.67,30.4,44,2,0.0,0,0,0
2026-03-13 02:41:23.401391,26.67,30.4,44,2,0.0,0,0,0
2026-03-13 02:41:41.558682,26.67,30.4,44,2,0.0,0,0,0
2026-03-13 02:41:59.167313,26.67,30.7,44,2,0.0,0,0,0
2026-03-13 02:42:15.814305,26.67,30.7,44,2,0.0,0,0,0
2026-03-13 02:42:33.727981,26.67,30.7,44,2,0.0,0,0,0
2026-03-13 02:42:51.371223,26.67,30.7,44,2,0.0,0,0,0
2026-03-13 02:43:08.913724,26.67,30.7,44,2,0.0,0,0,0
2026-03-13 02:43:26.528489,26.67,30.7,44,2,0.0,0,0,0
2026-03-13 02:43:44.130429,26.67,30.7,44,2,0.0,0,0,0
2026-03-13 02:44:02.048801,26.67,30.7,44,2,0.0,0,0,0
2026-03-13 02:44:19.651095,26.67,30.6,44,2,0.0,0,0,0
2026-03-13 02:44:36.287282,26.67,30.6,44,2,0.0,0,0,0
2026-03-13 02:44:54.209733,26.67,30.1,44,2,0.0,0,0,0
2026-03-13 02:45:10.843385,26.67,30.1,44,2,0.0,0,0,0
2026-03-13 02:45:28.406718,26.67,30.1,44,2,0.0,0,0,0
2026-03-13 02:45:46.116153,26.67,30.5,44,2,0.0,0,0,0
2026-03-13 02:46:02.376858,26.67,30.6,44,2,0.0,0,0,0
2026-03-13 02:46:19.037971,26.67,30.9,44,2,0.0,0,0,0
2026-03-13 02:46:35.580729,26.67,30.7,44,2,0.0,0,0,0
2026-03-13 02:46:51.937312,26.67,30.7,44,2,0.0,0,0,0
2026-03-13 02:47:09.556918,26.67,30.4,44,2,0.0,0,0,0
2026-03-13 02:47:26.210202,26.67,30.4,44,2,0.0,0,0,0
2026-03-13 02:47:43.835959,26.67,30.4,44,2,0.0,0,0,0
2026-03-13 02:48:01.430166,26.67,30.7,44,2,0.0,0,0,0
2026-03-13 02:48:18.442515,26.67,30.7,44,2,0.0,0,0,0
2026-03-13 02:48:36.046014,26.67,30.7,44,2,0.0,0,0,0
2026-03-13 02:48:53.581127,26.67,30.7,44,2,0.0,0,0,0
2026-03-13 02:49:11.181345,26.67,30.7,44,2,0.0,0,0,0
2026-03-13 02:49:28.818509,26.67,30.7,44,2,0.0,0,0,0
2026-03-13 02:49:46.368152,26.67,30.7,44,2,0.0,0,0,0
2026-03-13 02:50:03.612772,26.67,30.7,44,2,0.0,0,0,0
2026-03-13 02:50:21.214277,26.67,30.9,44,2,0.0,0,0,0
2026-03-13 02:50:37.848283,26.67,30.6,44,2,0.0,0,0,0
2026-03-13 02:50:54.472013,26.67,30.6,44,2,0.0,0,0,0
2026-03-13 02:51:12.074617,26.67,30.6,44,2,0.0,0,0,0
2026-03-13 02:51:28.713121,26.67,30.6,44,2,0.0,0,0,0
2026-03-13 02:51:46.295824,26.67,30.6,44,2,0.0,0,0,0
2026-03-13 02:52:04.222571,26.67,30.6,44,2,0.0,0,0,0
2026-03-13 02:52:21.825460,26.67,30.6,44,2,0.0,0,0,0
2026-03-13 02:52:39.523382,26.67,30.6,44,2,0.0,0,0,0
2026-03-13 02:52:57.032157,26.67,30.6,44,2,0.0,0,0,0
2026-03-13 02:53:14.628002,26.67,30.1,44,2,0.0,0,0,0
2026-03-13 02:53:31.264721,26.67,30.0,44,2,0.0,0,0,0
2026-03-13 02:53:47.903129,26.67,30.2,44,2,0.0,0,0,0
2026-03-13 02:54:04.588727,26.67,30.5,44,2,0.0,0,0,0
2026-03-13 02:54:21.220754,26.67,30.8,44,2,0.0,0,0,0
2026-03-13 02:54:37.799795,26.67,30.2,44,2,0.0,0,0,0
2026-03-13 02:54:54.772172,26.67,30.8,44,2,0.0,0,0,0
2026-03-13 02:55:11.400750,26.67,30.6,44,2,0.0,0,0,0
2026-03-13 02:55:28.040764,26.67,30.5,44,2,0.0,0,0,0
2026-03-13 02:55:44.376722,26.67,30.3,44,2,0.0,0,0,0
2026-03-13 02:56:01.004761,26.67,30.9,44,2,0.0,0,0,0
2026-03-13 02:56:17.640758,26.67,30.1,44,2,0.0,0,0,0
2026-03-13 02:56:35.100729,26.67,30.9,44,2,0.0,0,0,0
2026-03-13 02:56:51.524755,27.06,30.7,44,2,-0.389999999999997,0,0,0
2026-03-13 02:57:12.004753,27.06,30.3,44,2,0.0,0,0,0
2026-03-13 02:57:28.642923,26.67,30.8,44,2,0.389999999999997,0,0,0
2026-03-13 02:57:45.600745,27.06,30.0,44,2,-0.389999999999997,0,0,0
2026-03-13 02:58:02.240726,27.06,30.0,44,2,0.0,0,0,0
2026-03-13 02:58:19.852723,26.67,30.3,44,2,0.389999999999997,0,0,0
2026-03-13 02:58:36.484719,26.67,30.9,44,2,0.0,0,0,0
2026-03-13 02:58:53.756407,26.67,30.8,44,2,0.0,0,0,0
2026-03-13 02:59:10.395308,26.67,30.7,44,2,0.0,0,0,0
2026-03-13 02:59:27.355573,26.67,30.0,44,2,0.0,0,0,0
2026-03-13 02:59:43.992743,27.06,30.4,44,2,-0.389999999999997,0,0,0
2026-03-13 03:00:05.825952,26.67,30.7,44,3,0.389999999999997,0,0,0
2026-03-13 03:00:22.780733,26.67,30.7,44,3,0.0,0,0,0
2026-03-13 03:00:39.404720,26.67,30.8,44,3,0.0,0,0,0
2026-03-13 03:00:55.992736,27.06,30.8,44,3,-0.389999999999997,0,0,0
2026-03-13 03:01:13.588749,26.67,30.8,44,3,0.389999999999997,0,0,0
2026-03-13 03:01:31.196732,26.67,30.8,44,3,0.0,0,0,0
2026-03-13 03:01:48.787305,26.67,30.6,44,3,0.0,0,0,0
2026-03-13 03:02:05.453094,26.67,30.7,44,3,0.0,0,0,0
2026-03-13 03:02:23.052728,27.06,30.8,44,3,-0.389999999999997,0,0,0
2026-03-13 03:02:39.660720,26.67,30.3,44,3,0.389999999999997,0,0,0
2026-03-13 03:02:56.300729,26.67,30.3,44,3,0.0,0,0,0
2026-03-13 03:03:13.948479,26.67,30.1,44,3,0.0,0,0,0
2026-03-13 03:03:30.577409,26.67,30.1,44,3,0.0,0,0,0
2026-03-13 03:03:48.170504,26.67,30.1,44,3,0.0,0,0,0
2026-03-13 03:04:05.757406,26.67,30.4,44,3,0.0,0,0,0
2026-03-13 03:04:22.408767,26.67,30.4,44,3,0.0,0,0,0
2026-03-13 03:04:40.329238,26.67,30.4,44,3,0.0,0,0,0
2026-03-13 03:04:57.928744,26.67,30.4,44,3,0.0,0,0,0
2026-03-13 03:05:14.568912,26.67,30.2,44,3,0.0,0,0,0
2026-03-13 03:05:31.179167,27.06,30.4,44,3,-0.389999999999997,0,0,0
2026-03-13 03:05:47.817488,27.06,30.4,44,3,0.0,0,0,0
2026-03-13 03:06:04.456751,27.06,30.6,44,3,0.0,0,0,0
2026-03-13 03:06:21.088642,27.06,30.5,44,3,0.0,0,0,0
2026-03-13 03:06:37.741378,27.06,30.5,44,3,0.0,0,0,0
2026-03-13 03:06:55.340759,27.06,30.8,44,3,0.0,0,0,0
